prompt,output,tags
What are the grounds for deeming a Public Service Commission member guilty of misbehavior?,"A Public Service Commission member is deemed guilty of misbehavior, as per Article 317(4), if they become concerned or interested in any contract or agreement made by or on behalf of the Government of India or a State Government, participate in profits therefrom or in any benefit or emolument arising therefrom, otherwise than as a member and in common with other members of an incorporated company.","['misbehavior', 'what', 'the', 'a', 'guilty', 'deeming', 'commission', 'are', 'service', 'for', 'public', 'grounds', 'of', 'member']"
Who has the authority to determine the number of members and their conditions of service in a Public Service Commission?,"In the case of the Union Commission or a Joint Commission, the President has the authority to determine the number of members and their conditions of service, while in the case of a State Commission, the Governor of the State has this authority, as per Article 318(a).","['has', 'the', 'a', 'authority', 'who', 'determine', 'commission', 'to', 'service', 'members', 'conditions', 'number', 'and', 'in', 'of', 'public', 'their']"
Can the conditions of service of a Public Service Commission member be changed after their appointment?,"The conditions of service of a Public Service Commission member cannot be varied to their disadvantage after their appointment, as per the proviso to Article 318.","['the', 'a', 'changed', 'commission', 'service', 'conditions', 'public', 'be', 'of', 'their', 'member', 'can', 'appointment', 'after']"
What is the role of a Public Service Commission in relation to pension awards for injuries sustained by a person while serving in a civil capacity?,"A Public Service Commission must be consulted on any claim for the award of a pension in respect of injuries sustained by a person while serving in a civil capacity under the Government of India, a State Government, the Crown in India, or the Government of an Indian State, as well as any question regarding the amount of such an award, as per Article 320(3)(e).","['person', 'capacity', 'a', 'for', 'in', 'by', 'is', 'awards', 'relation', 'the', 'role', 'service', 'to', 'serving', 'civil', 'injuries', 'public', 'of', 'sustained', 'what', 'while', 'pension', 'commission']"
Are there any exceptions to the requirement for a Public Service Commission to be consulted on matters relating to Article 16(4) or Article 335?,"Yes, as per Article 320(4), a Public Service Commission is not required to be consulted regarding the manner in which any provision referred to in Article 16(4) may be made or the manner in which effect may be given to the provisions of Article 335.","['a', 'are', 'consulted', 'for', 'article', 'the', 'any', 'on', 'to', 'service', 'there', 'requirement', 'public', 'relating', '164', 'commission', '335', 'be', 'or', 'exceptions', 'matters']"
What is the role of the Union Public Service Commission in assisting States in framing and operating schemes of joint recruitment?,"If requested by two or more States, the Union Public Service Commission has the duty to assist those States in framing and operating schemes of joint recruitment for any services requiring candidates possessing special qualifications, as per Article 320(2).","['what', 'the', 'recruitment', 'framing', 'assisting', 'role', 'commission', 'operating', 'service', 'schemes', 'union', 'states', 'joint', 'public', 'in', 'of', 'and', 'is']"
What matters are a Public Service Commission consulted on in relation to civil services and posts?,"A Public Service Commission is consulted on matters relating to methods of recruitment, principles followed in appointments, promotions, transfers, suitability of candidates, disciplinary matters, and claims related to legal proceeding costs and pension awards, as per Article 320(3).","['what', 'relation', 'a', 'civil', 'on', 'services', 'posts', 'commission', 'are', 'service', 'consulted', 'to', 'public', 'in', 'and', 'matters']"
What is the role of the Union and State Public Service Commissions in conducting examinations?,"The Union and State Public Service Commissions have the duty to conduct examinations for appointments to the services of the Union and the services of the State, respectively, as per Article 320(1).","['what', 'conducting', 'the', 'commissions', 'role', 'state', 'service', 'examinations', 'union', 'and', 'public', 'of', 'in', 'is']"
What is Article 349 of the Indian Constitution?,"Article 349 of the Indian Constitution deals with the special procedure for the enactment of certain laws relating to language. According to this article, during the first fifteen years from the commencement of the Constitution, no Bill or amendment addressing the language for any of the purposes mentioned in Article 348, Clause (1) shall be introduced or moved in either House of Parliament without the previous sanction of the President. Before giving his sanction, the President must take into consideration the recommendations of the Commission constituted under Article 344, Clause (1) and the report of the Committee constituted under Article 344, Clause (4).","['what', 'the', '349', 'constitution', 'of', 'article', 'is', 'indian']"
What does Article 350 of the Indian Constitution state?,Article 350 of the Indian Constitution states that every person has the right to submit a representation for the redress of any grievance to any officer or authority of the Union or a State in any of the languages used in the Union or in the State. This article ensures that people have the right to approach government authorities in their preferred language for addressing their grievances.,"['what', 'the', 'state', 'constitution', '350', 'does', 'article', 'of', 'indian']"
What is the purpose of Article 350A in the Indian Constitution?,"Article 350A in the Indian Constitution aims to provide adequate facilities for instruction in the mother-tongue at the primary stage of education to children belonging to linguistic minority groups. According to this article, it shall be the endeavor of every State and local authority within the State to provide such facilities. The President may issue directions to any State as he considers necessary or proper for securing the provision of such facilities.","['what', '350a', 'the', 'purpose', 'constitution', 'in', 'of', 'article', 'is', 'indian']"
What is the role of the Special Officer for linguistic minorities as per Article 350B?,"The Special Officer for linguistic minorities, appointed by the President according to Article 350B, has the duty to investigate all matters related to the safeguards provided for linguistic minorities under the Constitution. The Special Officer is required to report to the President upon those matters at intervals directed by the President. The President then causes all such reports to be laid before each House of Parliament and sent to the Governments of the concerned States.","['what', 'as', 'the', 'officer', 'minorities', 'role', 'special', 'linguistic', 'per', 'for', '350b', 'of', 'article', 'is']"
What does Article 351 of the Indian Constitution direct?,"Article 351 of the Indian Constitution directs the Union to promote the spread of the Hindi language, develop it as a medium of expression for all elements of the composite culture of India, and secure its enrichment. This is to be achieved by assimilating forms, style, and expressions used in Hindustani and other languages specified in the Eighth Schedule, without interfering with the language's genius. The article also directs the Union to draw primarily on Sanskrit and secondarily on other languages for Hindi's vocabulary, if necessary or desirable.","['what', 'the', '351', 'constitution', 'direct', 'does', 'of', 'article', 'indian']"
What is the purpose of a Proclamation of Emergency under Article 352 of the Indian Constitution?,"A Proclamation of Emergency under Article 352 of the Indian Constitution is issued by the President when a grave emergency exists that threatens the security of India or any part of its territory due to war, external aggression, armed rebellion, or imminent danger of such events. The Proclamation aims to empower the President and the Union government to take necessary measures to protect the nation's security and maintain stability during such emergency situations.","['what', 'emergency', 'the', 'a', '352', 'proclamation', 'purpose', 'constitution', 'of', 'article', 'is', 'indian', 'under']"
"How can a Proclamation of Emergency be issued, varied, or revoked under Article 352?","Under Article 352, the President can issue a Proclamation of Emergency if satisfied that a grave emergency exists. The President can also vary or revoke a Proclamation through a subsequent Proclamation. However, the President cannot issue, vary, or revoke a Proclamation unless the Union Cabinet's decision to do so has been communicated to him in writing. Every Proclamation must be laid before each House of Parliament, and it will cease to operate at the expiration of one month unless approved by resolutions of both Houses of Parliament.","['emergency', 'issued', 'how', 'a', 'revoked', '352', 'or', 'be', 'of', 'article', 'proclamation', 'varied', 'can', 'under']"
What are the effects of a Proclamation of Emergency as per Article 353?,"As per Article 353 of the Indian Constitution, when a Proclamation of Emergency is in effect, the executive power of the Union extends to giving directions to any State regarding the exercise of its executive power, and the power of Parliament to make laws with respect to any matter includes conferring powers and imposing duties on the Union or its officers and authorities. This allows the Union government to take necessary actions and make laws on matters that may not be covered under the Union List to address the emergency situation.","['what', 'emergency', 'the', 'as', 'a', 'per', 'are', 'effects', '353', 'of', 'article', 'proclamation']"
How does Article 354 affect the distribution of revenues during a Proclamation of Emergency?,"Article 354 of the Indian Constitution allows the President to direct that all or any provisions of Articles 268 to 279, which deal with the distribution of revenues between the Union and the States, have effect with certain exceptions or modifications for a specified period during a Proclamation of Emergency. The period cannot extend beyond the expiration of the financial year in which the Proclamation ceases to operate. This provision helps the Union government to allocate financial resources more effectively during an emergency.","['revenues', 'emergency', 'the', 'how', 'a', '354', 'affect', 'distribution', 'during', 'does', 'of', 'article', 'proclamation']"
"What is the meaning of the Explanation provided in Article 352, Clause (1) of the Indian Constitution?","The Explanation provided in Article 352, Clause (1) of the Indian Constitution clarifies that a Proclamation of Emergency can be made before the actual occurrence of war, external aggression, or armed rebellion if the President is satisfied that there is imminent danger of such events. This allows the President to act proactively and take necessary measures to protect the nation's security even before a crisis unfolds.","['provided', 'what', '1', 'the', 'meaning', '352', 'explanation', 'constitution', 'clause', 'in', 'of', 'article', 'is', 'indian']"
What is the majority required for passing a resolution in either House of Parliament regarding a Proclamation of Emergency under Article 352?,"As per Article 352, Clauses (6) and (7), a resolution regarding a Proclamation of Emergency can be passed by either House of Parliament only by a majority of the total membership of that House and by a majority of not less than two-thirds of the Members of that House present and voting. This provision ensures broad support for the continuation or revocation of a Proclamation of Emergency in the Parliament.","['a', 'for', 'in', 'article', 'emergency', 'is', 'either', 'the', 'proclamation', 'under', '352', 'resolution', 'of', 'what', 'majority', 'required', 'passing', 'house', 'parliament', 'regarding']"
How can the President revoke a Proclamation of Emergency issued under Article 352?,"According to Article 352, Clause (7), the President must revoke a Proclamation of Emergency issued under Clause (1) or a Proclamation varying such Proclamation if the House of the People passes a resolution disapproving, or disapproving the continuance in force of, such Proclamation. This clause ensures that the President cannot maintain a Proclamation of Emergency if the lower house of Parliament expresses its disapproval.","['emergency', 'issued', 'the', 'how', 'a', 'revoke', '352', 'president', 'article', 'proclamation', 'of', 'can', 'under']"
"What is the special sitting of the House of the People mentioned in Article 352, Clause (8)?","The special sitting of the House of the People mentioned in Article 352, Clause (8) refers to a situation where a notice in writing, signed by not less than one-tenth of the total members of the House of the People, has been given of their intention to move a resolution disapproving a Proclamation of Emergency or its continuance in force. In such cases, a special sitting of the House shall be held within fourteen days from the date the notice is received by the Speaker or the President to consider the resolution. This provision ensures timely discussion and decision-making on Proclamations of Emergency in the Parliament.","['what', 'the', 'people', 'special', 'sitting', '352', 'house', 'clause', 'in', 'of', 'article', 'is', '8', 'mentioned']"
Can the President issue multiple Proclamations of Emergency under Article 352?,"Yes, according to Article 352, Clause (9), the power conferred on the President includes the ability to issue different Proclamations of Emergency on different grounds like war, external aggression, armed rebellion, or imminent danger of such events. This can be done whether or not there is already a Proclamation issued under Clause (1) and in operation. This clause allows the President to address multiple emergencies simultaneously, if necessary.","['the', 'proclamations', 'multiple', '352', 'president', 'article', 'emergency', 'of', 'issue', 'can', 'under']"
What is the significance of the Eighth Schedule of the Indian Constitution?,"The Eighth Schedule of the Indian Constitution lists the official languages recognized by the Indian government. These languages are used for official communication and administrative purposes. The Eighth Schedule is important because it promotes linguistic diversity and cultural heritage in India by ensuring that multiple languages are recognized and used for official purposes. As mentioned in Article 351, the development of the Hindi language should draw from the forms, style, and expressions used in the languages specified in the Eighth Schedule.","['what', 'significance', 'the', 'eighth', 'constitution', 'of', 'is', 'indian', 'schedule']"
"What is the role of the Commission constituted under Article 344, Clause (1)?","The Commission constituted under Article 344, Clause (1) of the Indian Constitution is responsible for making recommendations on matters related to the official language policy of the Union. The President must take into consideration the recommendations of this Commission before giving his sanction for the introduction of a Bill or amendment related to the language for any of the purposes mentioned in Article 348, Clause (1), as stated in Article 349.","['344', 'what', '1', 'the', 'constituted', 'role', 'commission', 'clause', 'of', 'article', 'is', 'under']"
"What is the Committee constituted under Article 344, Clause (4)?","The Committee constituted under Article 344, Clause (4) of the Indian Constitution is appointed by the President to examine the recommendations made by the Commission constituted under Clause (1) of Article 344 and to report on the implementation of those recommendations. The President must take into consideration the report of this Committee before giving his sanction for the introduction of a Bill or amendment related to the language for any of the purposes mentioned in Article 348, Clause (1), as stated in Article 349.","['344', 'what', 'the', 'constituted', '4', 'committee', 'clause', 'article', 'is', 'under']"
What is the duration of a Proclamation of Emergency if not approved by both Houses of Parliament?,"According to Article 352, Clause (4), if a Proclamation of Emergency is not approved by resolutions of both Houses of Parliament, it will cease to operate at the expiration of one month from the date it was issued. This provision ensures that a Proclamation of Emergency cannot remain in force without the consent of the Parliament.","['what', 'emergency', 'the', 'both', 'a', 'houses', 'proclamation', 'by', 'approved', 'duration', 'parliament', 'of', 'is', 'not', 'if']"
What happens if the House of the People is dissolved during a Proclamation of Emergency?,"If the House of the People is dissolved during a Proclamation of Emergency, as per Article 352, Clause (4), the Proclamation shall cease to operate at the expiration of thirty days from the date on which the House of the People first sits after its reconstitution, unless a resolution approving the Proclamation has been passed by the House of the People before the expiration of that period. This provision ensures that a Proclamation of Emergency cannot continue without the approval of the newly constituted House of the People.","['what', 'emergency', 'the', 'a', 'people', 'proclamation', 'during', 'dissolved', 'house', 'happens', 'is', 'of', 'if']"
What is the special provision for the administration of Tuensang district in the State of Nagaland?,"According to the Constitution of India, the special provision for the administration of the Tuensang district in the State of Nagaland is that, for a period of ten years or any further period as specified by the Governor, the administration of the Tuensang district shall be carried on by the Governor. The Governor has the discretion to allocate money provided by the Government of India between the Tuensang district and the rest of the State, and no Act of the Nagaland Legislature shall apply to Tuensang district unless the Governor directs so on the recommendation of the regional council.","['what', 'the', 'special', 'provision', 'state', 'tuensang', 'district', 'for', 'nagaland', 'in', 'of', 'is', 'administration']"
How is the Minister for Tuensang affairs appointed?,The Minister for Tuensang affairs is appointed by the Governor on the advice of the Chief Minister. The Chief Minister should tender his advice based on the recommendation of the majority of the members representing the Tuensang district in the Legislative Assembly of Nagaland.,"['the', 'how', 'minister', 'affairs', 'tuensang', 'for', 'appointed', 'is']"
What is the role of the Minister for Tuensang affairs?,"The Minister for Tuensang affairs is responsible for dealing with all matters relating to the Tuensang district. The Minister has direct access to the Governor on these matters. However, the Minister is required to keep the Chief Minister informed about these matters.","['what', 'the', 'minister', 'affairs', 'role', 'tuensang', 'for', 'of', 'is']"
What is the final decision-making authority on matters relating to the Tuensang district?,"The final decision on all matters relating to the Tuensang district shall be made by the Governor in his discretion, as per the Constitution of India.","['what', 'the', 'final', 'authority', 'on', 'to', 'tuensang', 'district', 'relating', 'is', 'decisionmaking', 'matters']"
What is the special provision with respect to the State of Assam?,"The special provision with respect to the State of Assam allows the President to provide for the constitution and functions of a committee of the Legislative Assembly of the State, consisting of members of that Assembly elected from the tribal areas specified in Part I of the table appended to paragraph 20 of the Sixth Schedule, and such number of other members of that Assembly as specified in the order. The President may also provide for modifications to be made in the rules of procedure of that Assembly for the constitution and proper functioning of such committee.","['with', 'what', 'the', 'special', 'provision', 'to', 'state', 'respect', 'of', 'is', 'assam']"
What is the special provision with respect to the State of Manipur?,"The special provision with respect to the State of Manipur allows the President to provide for the constitution and functions of a committee of the Legislative Assembly of the State, consisting of members of that Assembly elected from the Hill Areas of that State, for modifications to be made in the rules of business of the Government and in the rules of procedure of the Legislative Assembly of the State, and for any special responsibility of the Governor to secure the proper functioning of such committee. The Governor is required to make a report to the President regarding the administration of the Hill Areas in the State of Manipur, and the executive power of the Union extends to giving directions to the State on the administration of these areas.","['with', 'what', 'the', 'manipur', 'special', 'provision', 'to', 'state', 'respect', 'of', 'is']"
What does the term 'Hill Areas' mean in the context of special provision for the State of Manipur?,"In the context of the special provision for the State of Manipur, the term 'Hill Areas' refers to such areas as the President may, by order, declare to be Hill areas.","['mean', 'what', 'the', 'manipur', 'areas', 'special', 'provision', 'state', 'for', 'does', 'in', 'hill', 'context', 'of', 'term']"
What are the special provisions with respect to the State of Andhra Pradesh?,"The special provisions with respect to the State of Andhra Pradesh allow the President to provide for equitable opportunities and facilities for people belonging to different parts of the State in matters of public employment and education. The President may require the State Government to organize various civil service posts into different local cadres for different parts of the State, specify the local area for direct recruitment to posts under the State Government and local authorities, and specify the preferences or reservations to be given to candidates who have resided or studied in the local area.","['with', 'what', 'the', 'provisions', 'pradesh', 'special', 'state', 'are', 'to', 'respect', 'of', 'andhra']"
What is the Administrative Tribunal for the State of Andhra Pradesh?,"The Administrative Tribunal for the State of Andhra Pradesh is a body established by the President to exercise jurisdiction, powers, and authority over matters related to appointments, allotments, promotions, seniority, and other conditions of service in the civil service of the State, civil posts under the State, and posts under the control of any local authority within the State. The order of the Administrative Tribunal disposing of a case becomes effective upon confirmation by the State Government or on the expiry of three months from the date it is made, whichever is earlier.","['what', 'the', 'pradesh', 'administrative', 'state', 'tribunal', 'for', 'of', 'is', 'andhra']"
Can the State Government modify or annul any order of the Administrative Tribunal for the State of Andhra Pradesh?,"Yes, the State Government can modify or annul any order of the Administrative Tribunal for the State of Andhra Pradesh before it becomes effective, by making a special order in writing and specifying the reasons for such modification or annulment. In such a case, the order of the Administrative Tribunal will have effect only in the modified form or be of no effect, as specified by the State Government.","['the', 'modify', 'pradesh', 'any', 'government', 'administrative', 'state', 'tribunal', 'for', 'annul', 'of', 'order', 'or', 'can', 'andhra']"
What are the powers of the High Court for the State of Andhra Pradesh in relation to the Administrative Tribunal?,"The High Court for the State of Andhra Pradesh does not have any powers of superintendence over the Administrative Tribunal. No court (other than the Supreme Court) or tribunal shall exercise any jurisdiction, power, or authority in respect of any matter subject to the jurisdiction, power, or authority of, or in relation to, the Administrative Tribunal.","['what', 'high', 'the', 'relation', 'pradesh', 'administrative', 'court', 'state', 'are', 'to', 'tribunal', 'powers', 'for', 'in', 'of', 'andhra']"
What is the role of the President in case of any difficulty in giving effect to the provisions of the Constitution of India regarding special provisions for the State of Nagaland?,"In case of any difficulty in giving effect to the provisions of the Constitution of India regarding special provisions for the State of Nagaland, the President may, by order, do anything (including any adaptation or modification of any other article) which appears to him to be necessary for the purpose of removing that difficulty. However, no such order shall be made after the expiration of three years from the date of the formation of the State of Nagaland.","['constitution', 'for', 'nagaland', 'in', 'president', 'is', 'the', 'effect', 'any', 'role', 'to', 'india', 'case', 'giving', 'of', 'difficulty', 'what', 'provisions', 'special', 'state', 'regarding']"
"What is the meaning of 'Kohima, Mokokchung, and Tuensang districts' in the context of the Constitution of India?","In the context of the Constitution of India, the Kohima, Mokokchung, and Tuensang districts have the same meanings as in the State of Nagaland Act, 1962.","['kohima', 'what', 'the', 'meaning', 'tuensang', 'constitution', 'mokokchung', 'and', 'in', 'of', 'context', 'is', 'india', 'districts']"
What is the role of the regional council in the administration of Tuensang district in the State of Nagaland?,"The regional council plays a crucial role in the administration of the Tuensang district in the State of Nagaland. The council makes recommendations to the Governor on various matters, including the application of Acts of the Nagaland Legislature to the Tuensang district, exceptions or modifications in the application of such Acts, and the allocation of funds provided by the Government of India. The Governor takes actions based on the recommendations of the regional council.","['what', 'the', 'role', 'state', 'tuensang', 'district', 'nagaland', 'in', 'of', 'is', 'council', 'administration', 'regional']"
What is the period during which the Governor administers the Tuensang district in the State of Nagaland?,"The Governor administers the Tuensang district in the State of Nagaland for a period of ten years from the date of the formation of the State or for any further period as the Governor may specify on the recommendation of the regional council, by public notification.","['what', 'the', 'period', 'state', 'which', 'tuensang', 'district', 'administers', 'nagaland', 'in', 'during', 'is', 'of', 'governor']"
What is the role of the Governor in the allocation of funds provided by the Government of India to the State of Nagaland?,"The Governor, in his discretion, is responsible for arranging an equitable allocation of funds provided by the Government of India between the Tuensang district and the rest of the State of Nagaland.","['provided', 'what', 'the', 'government', 'role', 'state', 'by', 'to', 'india', 'nagaland', 'in', 'of', 'is', 'allocation', 'governor', 'funds']"
What is the role of the Governor in the application of Acts of the Nagaland Legislature to the Tuensang district?,"The Governor has the authority to decide whether an Act of the Nagaland Legislature applies to the Tuensang district or not, based on the recommendation of the regional council. The Governor may also direct that the Act shall have effect in the Tuensang district or any part thereof subject to such exceptions or modifications as specified on the recommendation of the regional council.","['what', 'the', 'role', 'application', 'legislature', 'to', 'acts', 'tuensang', 'district', 'nagaland', 'in', 'of', 'is', 'governor']"
Can the Governor make regulations for the Tuensang district in the State of Nagaland?,"Yes, the Governor has the authority to make regulations for the peace, progress, and good government of the Tuensang district in the State of Nagaland. The regulations made by the Governor may repeal or amend, with retrospective effect if necessary, any Act of Parliament or any other law that is applicable to the district.","['the', 'regulations', 'state', 'tuensang', 'district', 'for', 'nagaland', 'in', 'of', 'governor', 'can', 'make']"
What is the effect of directions given by the Governor with respect to Acts of the Nagaland Legislature applicable to the Tuensang district?,"The directions given by the Governor with respect to Acts of the Nagaland Legislature applicable to the Tuensang district may have retrospective effect, and the Governor may direct that the Act shall have effect in its application to the Tuensang district or any part thereof subject to such exceptions or modifications as specified on the recommendation of the regional council.","['with', 'what', 'the', 'effect', 'given', 'legislature', 'directions', 'by', 'to', 'acts', 'tuensang', 'respect', 'nagaland', 'applicable', 'district', 'of', 'is', 'governor']"
What are the three lists mentioned in the Constitution of India that determine the distribution of legislative powers between the Union and the States?,"The three lists mentioned in the Constitution of India that determine the distribution of legislative powers between the Union and the States are the Union List (List I), the State List (List II), and the Concurrent List (List III). These lists are enumerated in the Seventh Schedule of the Constitution. The Union List contains subjects on which only Parliament has the exclusive power to legislate. The State List consists of subjects on which the Legislature of a State has exclusive power to make laws. The Concurrent List includes subjects on which both Parliament and the State Legislatures have the power to legislate.","['are', 'constitution', 'states', 'in', 'the', 'that', 'three', 'determine', 'union', 'india', 'powers', 'between', 'of', 'legislative', 'what', 'distribution', 'and', 'mentioned', 'lists']"
What is the process for Parliament to legislate on a matter in the State List in the national interest?,"For Parliament to legislate on a matter in the State List in the national interest, the Council of States (Rajya Sabha) must pass a resolution, supported by not less than two-thirds of the members present and voting, declaring that it is necessary or expedient in the national interest that Parliament should make laws with respect to the specified matter. Once the resolution is passed, it is lawful for Parliament to make laws for the whole or any part of India with respect to that matter while the resolution remains in force. The resolution remains in force for a period not exceeding one year, but it can be extended by passing another resolution in the same manner (Article 249).","['what', 'the', 'interest', 'list', 'a', 'national', 'on', 'matter', 'state', 'to', 'parliament', 'for', 'process', 'in', 'is', 'legislate']"
What happens if there is inconsistency between laws made by Parliament and laws made by the Legislatures of States?,"If there is inconsistency between laws made by Parliament and laws made by the Legislatures of States, the law made by Parliament prevails. The law made by the State Legislature becomes inoperative to the extent of the repugnancy, but only as long as the law made by Parliament continues to have effect (Article 251). If the State law has been reserved for the consideration of the President and has received his assent, it will prevail in that State (Article 254). However, Parliament can still enact a new law with respect to the same matter, and the new law will prevail over the State law.","['what', 'made', 'the', 'laws', 'legislatures', 'there', 'by', 'states', 'parliament', 'inconsistency', 'and', 'happens', 'is', 'of', 'if', 'between']"
Can Parliament make laws for implementing international agreements?,"Yes, Parliament has the power to make laws for the whole or any part of the territory of India for implementing any treaty, agreement, or convention with any other country or countries, or any decision made at any international conference, association, or other body (Article 253). This power is notwithstanding any of the other provisions of the Constitution related to legislative relations between the Union and the States.","['laws', 'implementing', 'agreements', 'international', 'parliament', 'for', 'can', 'make']"
What is the obligation of States and the Union regarding the compliance with laws made by Parliament?,The executive power of every State is obligated to be exercised in a manner that ensures compliance with the laws made by Parliament and any existing laws that apply in that State. The executive power of the Union extends to giving directions to a State as may appear to the Government of India to be necessary for ensuring compliance with the laws made by Parliament (Article 256).,"['with', 'what', 'made', 'the', 'laws', 'regarding', 'by', 'union', 'states', 'parliament', 'and', 'of', 'is', 'compliance', 'obligation']"
What is the role of the Parliament in adjudicating disputes related to waters of inter-State rivers?,"According to Article 262 of the Indian Constitution, Parliament may make laws providing for the adjudication of disputes or complaints related to the use, distribution, or control of waters in any inter-State river or river valley. Furthermore, Parliament may also make laws stating that neither the Supreme Court nor any other court shall have jurisdiction over such disputes or complaints.","['disputes', 'what', 'the', 'adjudicating', 'role', 'rivers', 'related', 'to', 'interstate', 'parliament', 'waters', 'in', 'of', 'is']"
What is the purpose of an inter-State Council?,"Article 263 of the Indian Constitution states that an inter-State Council may be established if the President believes it would serve the public interest. The Council's duties include inquiring into and advising upon disputes between States, investigating and discussing subjects of common interest to some or all States and the Union, and making recommendations for better coordination of policy and action concerning such subjects.","['what', 'the', 'purpose', 'an', 'interstate', 'of', 'is', 'council']"
What is a Finance Commission and how is it related to the Indian Constitution?,"A Finance Commission, as mentioned in Article 264, is a body constituted under Article 280 of the Indian Constitution. Its primary function is to make recommendations regarding the distribution of financial resources between the Union and the States, including the allocation of shares of taxes, duties, and grants-in-aid to the States. The President considers the recommendations of the Finance Commission while making orders related to the distribution of financial resources.","['what', 'it', 'the', 'how', 'a', 'commission', 'related', 'to', 'constitution', 'and', 'is', 'indian', 'finance']"
What are the rules regarding levying and collecting taxes in India?,"According to Article 265 of the Indian Constitution, no tax shall be levied or collected except by the authority of law. Taxes and duties are mainly divided between the Union and the States, as specified in the Union List and the State List. Some taxes, such as those mentioned in Articles 268, 269, and 269A, are levied by the Union but collected and assigned to the States. Furthermore, Article 271 allows Parliament to increase duties or taxes by a surcharge for the Union's purposes, and the proceeds of such surcharge form part of the Consolidated Fund of India.","['what', 'the', 'collecting', 'are', 'india', 'and', 'in', 'regarding', 'levying', 'taxes', 'rules']"
What is the Consolidated Fund of India and the Consolidated Fund of a State?,"According to Article 266, the Consolidated Fund of India consists of all revenues received by the Government of India, loans raised by the Government, and moneys received in repayment of loans. Similarly, the Consolidated Fund of a State comprises all revenues received by the State Government, loans raised by the State Government, and moneys received in repayment of loans. These funds are used for government expenditure, and no money can be appropriated from these funds without following the procedures and purposes specified in the Constitution.","['what', 'the', 'a', 'fund', 'state', 'india', 'consolidated', 'and', 'of', 'is']"
What is the Contingency Fund of India and the Contingency Fund of a State?,"Article 267 of the Indian Constitution establishes the Contingency Fund of India and the Contingency Fund of a State, which are in the nature of an imprest. These funds are used for meeting unforeseen expenditure pending authorization by the Parliament or the State Legislature. The President has control over the Contingency Fund of India, while the Governor controls the Contingency Fund of a State.","['what', 'the', 'a', 'fund', 'state', 'india', 'and', 'of', 'is', 'contingency']"
What are the rules concerning taxes levied and collected by the Union but assigned to the States?,"Article 269 states that taxes on the sale or purchase of goods and taxes on the consignment of goods, except as provided in Article 269A, shall be levied and collected by the Government of India but assigned to the States. The net proceeds of such taxes, excluding proceeds attributable to Union territories, shall not form part of the Consolidated Fund of India but be assigned to the States where the tax is leviable and distributed among them according to principles formulated by Parliament.","['what', 'the', 'levied', 'are', 'taxes', 'union', 'to', 'states', 'and', 'collected', 'but', 'by', 'concerning', 'rules', 'assigned']"
What is the Goods and Services Tax (GST) and how is it apportioned between the Union and the States?,"As per Article 269A, the Goods and Services Tax (GST) is levied and collected by the Government of India on supplies made in the course of inter-State trade or commerce. The tax is then apportioned between the Union and the States as prescribed by Parliament, based on the recommendations of the Goods and Services Tax Council. The amounts apportioned to a State do not form part of the Consolidated Fund of India.","['gst', 'between', 'what', 'it', 'the', 'how', 'apportioned', 'services', 'union', 'states', 'and', 'goods', 'is', 'tax']"
How are taxes distributed between the Union and the States?,"Article 270 states that all taxes and duties listed in the Union List, except those mentioned in Articles 268, 269, and 269A, and any cess levied for specific purposes, shall be levied and collected by the Government of India and distributed between the Union and the States. A prescribed percentage of the net proceeds of such taxes and duties shall be assigned to the States where they are leviable and distributed among them according to principles prescribed by the President, after considering the recommendations of the Finance Commission.","['the', 'how', 'are', 'distributed', 'union', 'states', 'and', 'taxes', 'between']"
"What is a surcharge, and how does it relate to the Union?","A surcharge, as mentioned in Article 271, is an additional charge or tax imposed by Parliament on certain duties or taxes referred to in Articles 269 and 270, except the Goods and Services Tax under Article 246A, for the purposes of the Union. The entire proceeds of a surcharge form part of the Consolidated Fund of India.","['what', 'it', 'the', 'how', 'a', 'relate', 'surcharge', 'to', 'union', 'and', 'does', 'is']"
What are grants-in-aid provided to certain States?,"Article 275 outlines grants-in-aid, which are sums provided by Parliament and charged on the Consolidated Fund of India to assist States that are determined to be in need of financial assistance. These grants help the States in meeting their expenses and promoting the welfare of Scheduled Tribes or raising the level of administration of Scheduled Areas. The President may exercise the powers conferred on Parliament until a law is made by Parliament regarding such grants.","['provided', 'what', 'certain', 'to', 'are', 'states', 'grantsinaid']"
"What are the rules regarding taxes on professions, trades, callings, and employments?","Article 276 states that a State Legislature can make laws related to taxes on professions, trades, callings, and employments for the benefit of the State or local authorities without being invalidated on the grounds of relating to income tax. However, the total amount payable for such taxes by any one person to the State or any local authority shall not exceed two thousand and five hundred rupees per annum.","['trades', 'what', 'the', 'employments', 'on', 'callings', 'are', 'and', 'regarding', 'professions', 'taxes', 'rules']"
What is the requirement for prior recommendation of the President for Bills affecting taxation in which States are interested?,"According to Article 274, no Bill or amendment that imposes or varies any tax or duty in which States are interested, or affects the principles of distribution of money to States, shall be introduced or moved in either House of Parliament without the President's recommendation. In this context, a tax or duty in which States are interested refers to one with net proceeds assigned to a State or used to pay sums from the Consolidated Fund of India to a State.","['what', 'bills', 'the', 'requirement', 'which', 'are', 'affecting', 'taxation', 'for', 'states', 'in', 'of', 'recommendation', 'is', 'interested', 'president', 'prior']"
